service,src_bytes,count,srv_count,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate
eco_i,256,100,100,0.01,16,16,0.0625,0
eco_i,256,100,100,0.01,16,16,0.0625,0
eco_i,272,101,101,0.009900990099009901,17,17,0.058823529411764705,0
eco_i,272,101,101,0.009900990099009901,17,17,0.058823529411764705,0
eco_i,288,102,102,0.00980392156862745,18,18,0.05555555555555555,0
eco_i,288,102,102,0.00980392156862745,18,18,0.05555555555555555,0
eco_i,304,103,103,0.009708737864077669,19,19,0.05263157894736842,0
eco_i,304,103,103,0.009708737864077669,19,19,0.05263157894736842,0
eco_i,320,104,104,0.009615384615384616,20,20,0.05,0
eco_i,320,104,104,0.009615384615384616,20,20,0.05,0
eco_i,336,105,105,0.009523809523809525,21,21,0.047619047619047616,0
eco_i,336,105,105,0.009523809523809525,21,21,0.047619047619047616,0
eco_i,352,106,106,0.009433962264150943,22,22,0.045454545454545456,0
eco_i,352,106,106,0.009433962264150943,22,22,0.045454545454545456,0
eco_i,368,107,107,0.009345794392523364,23,23,0.043478260869565216,0
eco_i,368,107,107,0.009345794392523364,23,23,0.043478260869565216,0
eco_i,384,108,108,0.009259259259259259,24,24,0.041666666666666664,0
eco_i,384,108,108,0.009259259259259259,24,24,0.041666666666666664,0
eco_i,400,109,109,0.009174311926605505,25,25,0.04,0
eco_i,400,109,109,0.009174311926605505,25,25,0.04,0
eco_i,416,110,110,0.00909090909090909,26,26,0.038461538461538464,0
eco_i,416,110,110,0.00909090909090909,26,26,0.038461538461538464,0
eco_i,432,111,111,0.009009009009009009,27,27,0.037037037037037035,0
eco_i,432,111,111,0.009009009009009009,27,27,0.037037037037037035,0
eco_i,448,112,112,0.008928571428571428,28,28,0.03571428571428571,0
eco_i,448,112,112,0.008928571428571428,28,28,0.03571428571428571,0
eco_i,464,113,113,0.008849557522123894,29,29,0.034482758620689655,0
eco_i,464,113,113,0.008849557522123894,29,29,0.034482758620689655,0
eco_i,1072,114,114,0.008771929824561403,67,67,0.014925373134328358,0
eco_i,1072,114,114,0.008771929824561403,67,67,0.014925373134328358,0
eco_i,1088,115,115,0.008695652173913044,68,68,0.014705882352941176,0
eco_i,1088,115,115,0.008695652173913044,68,68,0.014705882352941176,0
eco_i,1104,116,116,0.008620689655172414,69,69,0.014492753623188406,0
eco_i,1104,116,116,0.008620689655172414,69,69,0.014492753623188406,0
eco_i,1120,117,117,0.008547008547008548,70,70,0.014285714285714285,0
eco_i,1120,117,117,0.008547008547008548,70,70,0.014285714285714285,0
eco_i,1136,118,118,0.00847457627118644,71,71,0.014084507042253521,0
eco_i,1136,118,118,0.00847457627118644,71,71,0.014084507042253521,0
eco_i,1152,119,119,0.008403361344537815,72,72,0.013888888888888888,0
eco_i,1152,119,119,0.008403361344537815,72,72,0.013888888888888888,0
eco_i,1168,120,120,0.008333333333333333,73,73,0.0136986301369863,0
eco_i,1168,120,120,0.008333333333333333,73,73,0.0136986301369863,0
eco_i,1184,121,121,0.008264462809917356,74,74,0.013513513513513514,0
eco_i,1184,121,121,0.008264462809917356,74,74,0.013513513513513514,0
eco_i,1200,122,122,0.00819672131147541,75,75,0.013333333333333334,0
eco_i,1200,122,122,0.00819672131147541,75,75,0.013333333333333334,0
eco_i,1216,123,123,0.008130081300813009,76,76,0.013157894736842105,0
eco_i,1216,123,123,0.008130081300813009,76,76,0.013157894736842105,0
eco_i,1232,124,124,0.008064516129032258,77,77,0.012987012987012988,0
eco_i,1232,124,124,0.008064516129032258,77,77,0.012987012987012988,0
eco_i,1248,125,125,0.008,78,78,0.01282051282051282,0
eco_i,1248,125,125,0.008,78,78,0.01282051282051282,0
eco_i,1264,126,126,0.007936507936507936,79,79,0.012658227848101266,0
eco_i,1264,126,126,0.007936507936507936,79,79,0.012658227848101266,0
eco_i,1280,127,127,0.007874015748031496,80,80,0.0125,0
eco_i,1280,127,127,0.007874015748031496,80,80,0.0125,0
eco_i,1296,128,128,0.0078125,81,81,0.012345679012345678,0
eco_i,1296,128,128,0.0078125,81,81,0.012345679012345678,0
eco_i,1312,129,129,0.007751937984496124,82,82,0.012195121951219513,0
eco_i,1312,129,129,0.007751937984496124,82,82,0.012195121951219513,0
eco_i,1328,130,130,0.007692307692307693,83,83,0.012048192771084338,0
eco_i,1328,130,130,0.007692307692307693,83,83,0.012048192771084338,0
eco_i,1344,131,131,0.007633587786259542,84,84,0.011904761904761904,0
eco_i,1344,131,131,0.007633587786259542,84,84,0.011904761904761904,0
eco_i,1360,132,132,0.007575757575757576,85,85,0.011764705882352941,0
eco_i,1360,132,132,0.007575757575757576,85,85,0.011764705882352941,0
eco_i,1376,133,133,0.007518796992481203,86,86,0.011627906976744186,0
eco_i,1376,133,133,0.007518796992481203,86,86,0.011627906976744186,0
eco_i,1392,134,134,0.007462686567164179,87,87,0.011494252873563218,0
eco_i,1392,134,134,0.007462686567164179,87,87,0.011494252873563218,0
eco_i,1408,135,135,0.007407407407407408,88,88,0.011363636363636364,0
eco_i,1408,135,135,0.007407407407407408,88,88,0.011363636363636364,0
eco_i,1424,136,136,0.007352941176470588,89,89,0.011235955056179775,0
eco_i,1424,136,136,0.007352941176470588,89,89,0.011235955056179775,0
eco_i,1440,137,137,0.0072992700729927005,90,90,0.011111111111111112,0
eco_i,1440,137,137,0.0072992700729927005,90,90,0.011111111111111112,0
eco_i,1456,138,138,0.007246376811594203,91,91,0.01098901098901099,0
eco_i,1456,138,138,0.007246376811594203,91,91,0.01098901098901099,0
